V	D	S	T	ê
0.063	0.28	0.07	12.1	0.801
0.56	0.18	0.04	15	0.801
0.25	0.12	0.02	10.3	0.801
0.09	0.11	0.03	14.1	0.801
0.19	0.16	0.03	21.4	0.802
0.65	0.14	0.04	11.1	0.803
0.3	0.18	0.07	18	0.803
0.09	0.14	0.05	23.2	0.803
0.07	0.1	0.05	23.8	0.803
0.59	0.32	0.04	18.4	0.806
0.61	0.07	0.05	11.9	0.806
0.7	0.19	0.04	10.3	0.807
0.21	0.27	0.05	21.8	0.809
0.55	0.1	0.07	19.3	0.809
0.23	0.18	0.04	15.3	0.809
0.24	0.14	0.04	10.5	0.811
0.42	0.18	0.07	24.4	0.812
0.08	0.27	0.07	10.7	0.817
0.49	0.19	0.05	22	0.818
0.49	0.06	0.07	17.9	0.819
0.41	0.16	0.04	11.1	0.82
0.47	0.1	0.07	16.9	0.821
0	0.11	0.026	10.5	0.823
0.32	0.18	0.05	18.9	0.824
0.71	0.18	0.05	23.8	0.827
0.4	0.16	0.03	23.3	0.827
0.28	0.15	0.04	18.9	0.831
0.28	0.19	0.04	18.7	0.833
0.32	0.09	0.04	17.1	0.835
1.03	0.13	0.04	24	0.838
0.31	0.28	0.05	24.1	0.838
0.64	0.25	0.07	11.2	0.839
0.32	0.13	0.04	21.6	0.843
0.49	0.21	0.04	11.1	0.847
0.09	0.22	0.05	21.2	0.847
0.08	0.24	0.07	18.9	0.85
0.38	0.16	0.07	23.7	0.855
0.06	0.16	0.05	21.7	0.856
0.23	0.17	0.03	14.6	0.856
0.22	0.16	0.07	12.2	0.857
1.13	0.18	0.07	11.3	0.857
0.16	0.16	0.03	23.2	0.86
0.75	0.23	0.05	17.1	0.861
0.27	0.1	0.03	11.1	0.862
0.44	0.14	0.04	16.9	0.864
0.32	0.2	0.05	18.9	0.866
0.71	0.29	0.05	10.3	0.87
0.26	0.21	0.07	11.2	0.871
0.55	0.15	0.04	22.4	0.876
0.3	0.22	0.026	12.1	0.877
0.6	0.19	0.05	14.9	0.878
0.23	0.07	0.03	23.4	0.879
0.3	0.17	0.04	19.1	0.881
0.46	0.14	0.07	11.3	0.891
0.33	0.04	0.03	12.9	0.897
0.638	0.13	0.05	11.6	0.898
0.47	0.18	0.07	17.8	0.898
0.09	0.38	0.05	17.9	0.899
1.11	0.27	0.07	10.9	0.902
0.1	0.12	0.03	23.6	0.905
0.38	0.1	0.04	11.2	0.905
0.57	0.23	0.07	18.9	0.907
0.27	0.5	0.04	16.2	0.915
0.28	0.09	0.03	16.9	0.919
0.38	0.26	0.05	10.7	0.923
0.37	0.23	0.07	19.3	0.924
0	0.09	0.05	23.5	0.925
0.4	0.23	0.04	10.1	0.931
0.49	0.14	0.03	23.8	0.934
0.5	0.32	0.05	14.6	0.936
0.19	0.07	0.05	13.3	0.937
