  TEST DATA PARAMETERS
  
  Classification matrix
  V      D      S      T      HS
  3.000  2.000  7.000  2.000  4.000
  5.000  2.000  7.000  2.000  4.000
  3.000  2.000  6.000  3.000  4.000
  2.000  2.000  4.000  2.000  4.000
  4.000  2.000  6.000  2.000  4.000
  3.000  1.000  5.000  3.000  4.000
  5.000  2.000  7.000  2.000  4.000
  3.000  1.000  5.000  2.000  4.000
  4.000  1.000  6.000  4.000  4.000
  5.000  2.000  8.000  3.000  4.000
  3.000  2.000  6.000  3.000  4.000
  4.000  1.000  5.000  3.000  4.000
  2.000  1.000  5.000  4.000  4.000
  1.000  2.000  8.000  4.000  4.000
  3.000  2.000  7.000  4.000  4.000
  5.000  3.000  6.000  4.000  4.000
  2.000  2.000  8.000  2.000  4.000
  4.000  2.000  8.000  4.000  4.000
  5.000  2.000  6.000  5.000  4.000
  3.000  3.000  6.000  4.000  4.000
  4.000  1.000  6.000  4.000  4.000
  3.000  2.000  6.000  4.000  4.000
  4.000  2.000  5.000  2.000  4.000
  2.000  2.000  8.000  2.000  4.000
  4.000  2.000  7.000  4.000  4.000
  1.000  2.000  8.000  2.000  5.000
  4.000  2.000  6.000  3.000  5.000
  3.000  1.000  1.000  2.000  5.000
  2.000  1.000  5.000  3.000  5.000
  3.000  2.000  5.000  4.000  5.000
  4.000  2.000  6.000  2.000  5.000
  3.000  2.000  8.000  3.000  5.000
  2.000  2.000  7.000  4.000  5.000
  1.000  1.000  7.000  4.000  5.000
  4.000  2.000  6.000  4.000  5.000
  4.000  1.000  7.000  2.000  5.000
  4.000  2.000  6.000  2.000  5.000
  3.000  2.000  7.000  4.000  5.000
  4.000  1.000  8.000  4.000  5.000
  3.000  2.000  6.000  3.000  5.000
  3.000  2.000  6.000  2.000  5.000
  3.000  2.000  8.000  5.000  5.000
  2.000  2.000  8.000  2.000  5.000
  4.000  2.000  7.000  4.000  5.000
  4.000  1.000  8.000  3.000  5.000
  3.000  2.000  6.000  2.000  5.000
  4.000  1.000  8.000  3.000  5.000
  1.000  1.000  4.000  2.000  5.000
  3.000  2.000  7.000  4.000  5.000
  4.000  2.000  7.000  4.000  5.000
  3.000  2.000  5.000  4.000  5.000
  3.000  2.000  6.000  4.000  5.000
  3.000  2.000  6.000  4.000  5.000
  3.000  1.000  6.000  3.000  5.000
  5.000  2.000  6.000  4.000  5.000
  3.000  2.000  7.000  5.000  5.000
  4.000  2.000  8.000  2.000  5.000
  3.000  2.000  6.000  4.000  5.000
  4.000  2.000  6.000  2.000  5.000
  2.000  2.000  7.000  4.000  5.000
  2.000  2.000  8.000  4.000  5.000
  3.000  2.000  8.000  4.000  5.000
  1.000  2.000  7.000  4.000  5.000
  3.000  2.000  5.000  3.000  5.000
  3.000  2.000  8.000  2.000  5.000
  5.000  2.000  8.000  2.000  5.000
  2.000  2.000  5.000  4.000  5.000
  4.000  2.000  7.000  3.000  5.000
  3.000  1.000  5.000  2.000  5.000
  3.000  2.000  6.000  3.000  5.000
  3.000  2.000  7.000  4.000  5.000
  4.000  2.000  7.000  2.000  5.000
  3.000  2.000  8.000  2.000  5.000
  4.000  2.000  6.000  4.000  5.000
  3.000  2.000  4.000  2.000  5.000
  4.000  2.000  7.000  3.000  5.000
  3.000  1.000  5.000  4.000  5.000
  3.000  2.000  6.000  4.000  5.000
  4.000  2.000  8.000  2.000  5.000
  3.000  1.000  5.000  2.000  5.000
  4.000  2.000  7.000  2.000  5.000
  4.000  2.000  8.000  3.000  5.000
  2.000  3.000  7.000  3.000  5.000
  5.000  2.000  8.000  2.000  5.000
  2.000  1.000  5.000  4.000  5.000
  3.000  1.000  6.000  2.000  5.000
  4.000  2.000  8.000  4.000  5.000
  3.000  3.000  6.000  3.000  5.000
  3.000  1.000  5.000  3.000  5.000
  3.000  2.000  7.000  2.000  5.000
  3.000  2.000  8.000  4.000  5.000
  1.000  1.000  7.000  4.000  5.000
  3.000  2.000  6.000  2.000  5.000
  4.000  2.000  5.000  4.000  5.000
  4.000  2.000  7.000  3.000  5.000
  3.000  1.000  7.000  2.000  5.000
  3.000  2.000  7.000  4.000  5.000
  4.000  2.000  8.000  4.000  5.000
  4.000  2.000  5.000  2.000  5.000
  3.000  2.000  8.000  4.000  5.000
  3.000  1.000  6.000  2.000  5.000
  4.000  2.000  7.000  2.000  5.000
  3.000  1.000  6.000  4.000  5.000
  1.000  1.000  8.000  3.000  5.000
  3.000  1.000  5.000  3.000  5.000
  3.000  2.000  6.000  4.000  5.000
  2.000  2.000  5.000  3.000  5.000
  1.000  2.000  8.000  3.000  5.000
  2.000  1.000  7.000  4.000  5.000
  
  Bayesian joint probabilities matrix
  H      G      M      P      B
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  1.000
  0.000  0.500  0.000  0.500  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  1.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  1.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.500  0.250  0.250  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  1.000  0.000  0.000
  0.333  0.333  0.000  0.333  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  1.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  1.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  1.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  1.000  0.000
  0.000  0.333  0.000  0.667  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  1.000  0.000
  0.000  0.000  0.000  1.000  0.000
  0.000  0.000  0.500  0.500  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  1.000  0.000  0.000
  0.000  0.500  0.000  0.000  0.500
  0.000  1.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  1.000
  0.000  0.000  0.500  0.500  0.000
  0.000  0.500  0.000  0.500  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.667  0.333  0.000
  0.000  0.000  1.000  0.000  0.000
  0.500  0.500  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.167  0.333  0.333  0.167  0.000
  0.500  0.500  0.000  0.000  0.000
  0.000  0.750  0.250  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  1.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  1.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
  0.000  0.000  0.000  0.000  0.000
